epoch,date,transaction
1400144009,05/15/14,0
1400230409,05/16/14,0
1400316809,05/17/14,0
1400403209,05/18/14,0
1400489609,05/19/14,0
1400576009,05/20/14,0
1400662409,05/21/14,0
1400748809,05/22/14,0
1400835209,05/23/14,0
1400921609,05/24/14,0
1401008009,05/25/14,0
1401094409,05/26/14,0
1401180809,05/27/14,0
1401267209,05/28/14,0
1401353609,05/29/14,0
1401440009,05/30/14,0
1401526409,05/31/14,0
1401612809,06/01/14,0
1401699209,06/02/14,0
1401785609,06/03/14,0
1401872009,06/04/14,0
1401958409,06/05/14,0
1402044809,06/06/14,0
1402131209,06/07/14,0
1402217609,06/08/14,0
1402304009,06/09/14,0
1402390409,06/10/14,0
1402476809,06/11/14,0
1402563209,06/12/14,0
1402649609,06/13/14,0
1402736009,06/14/14,0
1402822409,06/15/14,0
1402908809,06/16/14,0
1402995209,06/17/14,0
1403081609,06/18/14,0
1403168009,06/19/14,0
1403254409,06/20/14,0
1403340809,06/21/14,0
1403427209,06/22/14,0
1403513609,06/23/14,0
1403600009,06/24/14,0
1403686409,06/25/14,0
1403772809,06/26/14,0
1403859209,06/27/14,0
1403945609,06/28/14,0
1404032009,06/29/14,0
1404118409,06/30/14,0
1404204809,07/01/14,0
1404291209,07/02/14,0
1404377609,07/03/14,0
1404464009,07/04/14,0
1404550409,07/05/14,0
1404636809,07/06/14,0
1404723209,07/07/14,0
1404809609,07/08/14,0
1404896009,07/09/14,0
1404982409,07/10/14,0
1405068809,07/11/14,0
1405155209,07/12/14,0
1405241609,07/13/14,0
1405328009,07/14/14,0
1405414409,07/15/14,0
1405500809,07/16/14,0
1405587209,07/17/14,0
1405673609,07/18/14,0
1405760009,07/19/14,0
1405846409,07/20/14,0
1405932809,07/21/14,0
1406019209,07/22/14,0
1406105609,07/23/14,0
1406192009,07/24/14,0
1406278409,07/25/14,0
1406364809,07/26/14,0
1406451209,07/27/14,0
1406537609,07/28/14,0
1406624009,07/29/14,0
1406710409,07/30/14,0
1406796809,07/31/14,0
1406883209,08/01/14,0
1406969609,08/02/14,0
1407056009,08/03/14,0
1407142409,08/04/14,0
1407228809,08/05/14,0
1407315209,08/06/14,0
1407401609,08/07/14,0
1407488009,08/08/14,0
1407574409,08/09/14,0
1407660809,08/10/14,0
1407747209,08/11/14,0
1407833609,08/12/14,0
1407920009,08/13/14,0
1408006409,08/14/14,0
1408092809,08/15/14,0
1408179209,08/16/14,0
1408265609,08/17/14,0
1408352009,08/18/14,0
1408438409,08/19/14,0
1408524809,08/20/14,0
1408611209,08/21/14,0
1408697609,08/22/14,0
1408784009,08/23/14,0
1408870409,08/24/14,0
1408956809,08/25/14,0
1409043209,08/26/14,0
1409129609,08/27/14,0
1409216009,08/28/14,0
1409302409,08/29/14,0
1409388809,08/30/14,0
1409475209,08/31/14,0
1409561609,09/01/14,0
1409648009,09/02/14,0
1409734409,09/03/14,0
1409820809,09/04/14,0
1409907209,09/05/14,0
1409993609,09/06/14,0
1410080009,09/07/14,0
1410166409,09/08/14,0
1410252809,09/09/14,0
1410339209,09/10/14,0
1410425609,09/11/14,0
1410512009,09/12/14,0
1410598409,09/13/14,0
1410684809,09/14/14,0
1410771209,09/15/14,0
1410857609,09/16/14,0
1410944009,09/17/14,0
1411030409,09/18/14,0
1411116809,09/19/14,0
1411203209,09/20/14,0
